나라,도시,Latitude,Longitude,icon
그리스,산토리니,36.3931562,25.4615092,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon그리스.png
그리스,미코노스,37.4414601,25.3667218,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
그리스,크레타,35.240117,24.8092691,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
그리스,케르키라,39.6242621,19.9216777,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
그리스,칼라마타,37.0366386,22.1143716,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
그린란드,누크,64.1743234,-51.7372787,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
그린란드,시시미우트,66.9394722,-53.6733857,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
그린란드,앙그막쌀릭,65.6134561,-37.6335696,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
남극,남극,-82.8627519,135,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
남아프리카공화국,케이프타운,-33.9248685,18.4240553,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
남아프리카공화국,요하네스버그,-26.2041028,28.0473051,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
남아프리카공화국,사우스 케이프 DC,-33.5880144,23.0965064,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
네덜란드,로테르담,51.9244201,4.4777325,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
네덜란드,덴하그,52.0704978,4.3006999,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
네덜란드,델프트,52.0115769,4.3570677,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
네팔,카트만두,27.7172453,85.3239605,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
네팔,포카라,28.2095831,83.9855674,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
네팔,랄릿푸르,24.6911707,78.4138183,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
네팔,카트만두,27.7172453,85.3239605,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
노르웨이,오슬로,59.9138688,10.7522454,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
노르웨이,트론헤임,63.4305149,10.3950528,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
노르웨이,헤우게순,59.413581,5.2679869,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
누벨칼레도니,누벨칼레도니,-20.904305,165.618042,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
뉴질랜드,오클랜드,-36.8508827,174.7644881,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
뉴질랜드,웰링턴,-41.2923814,174.7787463,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
뉴질랜드,크라이스트처치,-43.5320214,172.6305589,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
뉴질랜드,퀸스타운,-45.0301511,168.6615141,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
뉴질랜드,로토루아,-38.1445987,176.2377669,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
뉴질랜드,더니든,-45.8795455,170.5005957,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
뉴질랜드,넬슨,-41.2985321,173.2443635,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
뉴질랜드,Hamilton,-37.78348628,175.2536306,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
뉴질랜드,네이피어,-39.4892664,176.9191904,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
뉴질랜드,인버카길,-46.4178708,168.3614659,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
대만,가오슝,22.6272784,120.3014353,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
대만,타이페이,25.0329636,121.5654268,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
덴마크,코펜하겐,55.6760968,12.5683371,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
덴마크,오르후스,56.162939,10.203921,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
덴마크,올보르그,57.0488195,9.921747,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
독일,뮌헨,48.1351253,11.5819806,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
독일,쾰른,50.937531,6.9602786,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
독일,하이델베르크,49.3987524,8.6724335,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
독일,뉘른베르크,49.4521018,11.0766654,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
러시아,모스크바,55.755826,37.6173,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
러시아,블라디보스토크,43.1332484,131.9112975,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
러시아,상트페테르부르크,59.9310584,30.3609097,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
러시아,이르쿠츠크,52.2854834,104.2890222,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
러시아,하바롭스크,48.4814433,135.0720667,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
루마니아,시비우,45.8034789,24.1449997,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
루마니아,브라소브,45.6426802,25.5887252,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
루마니아,티미쇼아라,45.7488716,21.2086793,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
리히텐슈타인,바두츠,47.1410303,9.5209277,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
리히텐슈타인,Malbun,47.1015157,9.6096276,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
마다가스카르,안타나나리보,-18.8791902,47.5079055,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
마다가스카르,피아나란초아,-21.4546147,47.0875045,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
마다가스카르,토아마시나,-18.1442811,49.3957836,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
마다가스카르,안치라나나,-12.3231349,49.2942833,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
말레이시아,쿠알라룸푸르,3.1319197,101.6840589,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
말레이시아,조지타운,38.9097057,-77.0653565,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
말레이시아,랑카위,6.35,99.8,C:\Users\home\Desktop\wishmaps\roiwishmaps\icon홍콩.png
